_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active,Year,Causative Agent - 1,Causative Agent - 2
32,Rose Of Sharon Korean Long Term Care Home,17 Maplewood Ave,LTCH,Respiratory,Metapneumovirus,Coronavirus,2016-12-22,2017-01-07,N,2016,,
33,North York General Hospital - 5 SE,4001 Leslie St,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2016-12-21,2016-12-29,N,2016,,
34,Forest Hill Place,645 Castlefield Ave,Retirement Home,Enteric,Unable to identify,,2016-12-21,2017-01-03,N,2016,,
35,Greenview Lodge,880 Lawrence Ave E,Retirement Home,Respiratory,Respiratory syncytial virus,,2016-12-21,2017-01-05,N,2016,,
36,West Park Healthcare Centre - 3WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,,2016-12-19,2016-12-23,N,2016,,
37,Centennial Park Place,25 Centennial Park Rd,Retirement Home,Respiratory,Influenza A (H3),,2016-12-19,2016-12-27,N,2016,,
38,Scarborough Retirement Residence,148 Markham Rd,Retirement Home,Enteric,Norovirus-like,,2016-12-19,2017-01-23,N,2016,,
39,Baycrest Centre For Geriatric Care - 3E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,,2016-12-16,2016-12-26,N,2016,,
40,West Park Healthcare Centre - 3WD,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,,2016-12-16,2017-01-04,N,2016,,
41,Mon Sheong Scarborough Long Term Care Centre - 2nd Fl,2030 McNicoll Ave,LTCH,Respiratory,Influenza A (H3N2),Parainfluenza type 2 & type 4,2016-12-16,2017-01-15,N,2016,,
42,Cummer Lodge - 2 North,205 Cummer Ave,LTCH,Respiratory,Coronavirus,,2016-12-15,2016-12-24,N,2016,,
43,St. John's Rehabilitation Hospital - A4,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,,2016-12-14,2016-12-30,N,2016,,
44,Toronto General Hospital - 14ES,200 Elizabeth St,Hospital-Acute Care,Respiratory,Influenza A (H3),,2016-12-13,2016-12-23,N,2016,,
45,Extendicare Craiglee - 1st & 2nd Fl,102 Craiglee Dr,LTCH,Respiratory,Metapneumovirus,,2016-12-13,2016-12-24,N,2016,,
46,Kingsway Retirement Residence - 2nd Fl - Memory Care,4251 Dundas St W,Retirement Home,Respiratory,Rhinovirus,Respiratory syncytial virus,2016-12-11,2016-12-20,N,2016,,
47,Ina Grafton Gage Home - 2nd Fl,40 Bell Estate Rd,LTCH,Respiratory,Unable to identify,,2016-12-09,2016-12-19,N,2016,,
48,Christie Gardens,600 Melita Cres,Retirement Home,Respiratory,Influenza A (H3),,2016-12-08,2016-12-19,N,2016,,
49,Kensington Place Retirement Residence - 6th Fl,866 Sheppard Ave W,Retirement Home,Respiratory,Parainfluenza type 1,Rhinovirus/Respiratory syncytial virus,2016-12-07,2016-12-25,N,2016,,
50,Sienna Altamont Care Community,92 Island Rd,LTCH,Respiratory,Respiratory syncytial virus,Rhinovirus,2016-12-06,2016-12-22,N,2016,,
51,Castleview Wychwood Towers - 7C,351 Christie St,LTCH,Enteric,Unable to identify,,2016-12-04,2016-12-11,N,2016,,
52,Kensington Gardens - 3 West,45 Brunswick Ave,LTCH,Respiratory,Respiratory syncytial virus,,2016-12-02,2016-12-14,N,2016,,
53,Kipling Acres - 1 West,2233 Kipling Ave,LTCH,Enteric,Norovirus-like,,2016-12-02,2016-12-09,N,2016,,
54,West Park Healthcare Centre - Glenwyld & Raymore,82 Buttonwood Ave,LTCH,Respiratory,Respiratory syncytial virus,,2016-12-02,2016-12-16,N,2016,,
55,St. John's Rehabilitation Hospital - A1,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Enterovirus/Rhinovirus,,2016-11-29,2016-12-16,N,2016,,
56,Eatonville Care Centre,420 The East Mall,LTCH,Respiratory,Influenza A (H3N2),,2016-11-29,2016-12-14,N,2016,,
57,The O'Neill Centre - 4th Fl,33 Christie St,LTCH,Respiratory,Respiratory syncytial virus,,2016-11-29,2016-12-19,N,2016,,
58,Baycrest Apotex Centre - 5EI,3560 Bathurst St,LTCH,Respiratory,Influenza A (H3),,2016-11-28,2016-12-08,N,2016,,
59,Sunnybrook Health Sciences Centre - LGSE,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2016-11-28,2016-12-05,N,2016,,
60,Chartwell Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Enteric,Unable to identify,,2016-11-27,2016-12-06,N,2016,,
61,North Park Nursing Home,450 Rustic Rd,LTCH,Respiratory,Rhinovirus,Respiratory syncytial virus,2016-11-26,2016-12-26,N,2016,,
62,Extendicare Craiglee,102 Craiglee Dr,LTCH,Respiratory,Rhinovirus,,2016-11-24,2016-12-11,N,2016,,
63,Humber Valley Terrace,95 Humber College Blvd,LTCH,Enteric,Norovirus-like,,2016-11-23,2016-12-12,N,2016,,
64,Chartwell Scarlett Height Retirement Residence -,"4005 Eglinton Ave W - 2nd, 7th, 8th & 9th Fl",Retirement Home,Respiratory,Rhinovirus,,2016-11-23,2016-12-05,N,2016,,
65,St. John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza A (H3N2),,2016-11-18,2016-11-25,N,2016,,
66,Ehatare Nursing Home,40 Old Kingston Rd,LTCH,Respiratory,Rhinovirus,,2016-11-18,2016-12-05,N,2016,,
67,Main Street Terrace,77 Main St,LTCH,Enteric,Unable to identify,,2016-11-18,2016-11-30,N,2016,,
68,Michael Garron Hospital - F3,825 Coxwell Ave,Hospital-Acute Care,Enteric,Norovirus-like,,2016-11-13,2016-11-22,N,2016,,
69,St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,,2016-11-12,2016-12-04,N,2016,,
70,The Salvation Army Toronto Grace Health Centre - Unit 2,47 Austin Terr,Hospital-Chronic Care,Enteric,Clostridium difficile,,2016-11-09,2016-12-13,N,2016,,
71,St Clair O'Connor Nursing Home,2701 St Clair Ave E,LTCH,Enteric,Norovirus-like,,2016-11-09,2016-11-18,N,2016,,
72,Centre for Addiction and Mental Health - Queen Site -,1001 Queen St W - Unit 2-2,Hospital-Psychiatric,Respiratory,Rhinovirus,Coronavirus,2016-11-08,2016-11-17,N,2016,,
73,Fudger House - 2E,439 Sherbourne St,LTCH,Enteric,Unable to identify,,2016-11-01,2016-11-06,N,2016,,
74,Gibson Long Term Care Centre - Unit 4,1925 Steeles Ave E,LTCH,Respiratory,Influenza A (H3),,2016-11-01,2016-11-15,N,2016,,
75,West Park Healthcare Centre - 2WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Rhinovirus,,2016-10-26,2016-11-04,N,2016,,
76,Sunnybrook Health Sciences Centre - LSSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2016-10-20,2016-10-28,N,2016,,
77,Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Respiratory,Rhinovirus,,2016-10-20,2016-11-03,N,2016,,
78,The O'Neill Centre,33 Christie St,LTCH,Respiratory,Rhinovirus,Coronavirus,2016-10-17,2016-11-07,N,2016,,
79,Drs. Paul & John Rekai Centre - 2nd Fl,345 Sherbourne St,LTCH,Respiratory,Rhinovirus,,2016-10-16,2016-10-27,N,2016,,
80,Thompson House - 2nd & 3rd Fl,1 Overland Dr,LTCH,Respiratory,Rhinovirus,,2016-10-13,2016-11-03,N,2016,,
81,Canterbury Place Retirement Residence,1 Canterbury Pl,Retirement Home,Respiratory,Rhinovirus,,2016-10-12,2016-10-24,N,2016,,
82,Cedarhurst Home - 1st Fl,2601 Bayview Ave,Retirement Home,Respiratory,Rhinovirus,,2016-10-12,2016-10-21,N,2016,,
83,Bethseda Home - Belgreen,67 Belgreen Ave,Retirement Home,Respiratory,Rhinovirus,,2016-10-11,2016-10-18,N,2016,,
84,Gibson Long Term Care Centre - Unit 3,1925 Steeles Ave E,LTCH,Respiratory,Rhinovirus,,2016-10-08,2016-11-08,N,2016,,
85,Sunnybrook Health Sciences Centre - K2C,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2016-10-07,2016-10-15,N,2016,,
86,Chartwell Lansing Retirement Residence,10 Senlac Rd,Retirement Home,Respiratory,Rhinovirus,,2016-10-04,2016-10-15,N,2016,,
87,Sunnybrook Health Sciences Centre - LSSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2016-09-30,2016-10-15,N,2016,,
88,Fountain View Care Community - 2nd Fl (Lakeside & Breezeway),1800 O'Connor Dr,LTCH,Respiratory,Rhinovirus,,2016-09-29,2016-10-17,N,2016,,
89,St. John's Rehabilitation Hospital - A4,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Coronavirus,,2016-09-26,2016-10-01,N,2016,,
90,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,,2016-09-26,2016-10-07,N,2016,,
91,Mon Sheong Scarborough Long Term Care Centre - 4th Fl,2030 McNicoll Ave,LTCH,Respiratory,Rhinovirus,,2016-09-22,2016-10-03,N,2016,,
92,The Heritage Nursing Home - 1st & 3rd Fl,1195 Queen St E,LTCH,Respiratory,Rhinovirus,Respiratory syncytial virus,2016-09-22,2016-10-17,N,2016,,
93,Extendicare Bayview,550 Cummer Ave,LTCH,Respiratory,Rhinovirus,,2016-09-21,2016-10-02,N,2016,,
94,Cedarvale Terrace,429 Walmer Rd,LTCH,Respiratory,Unable to identify,,2016-09-19,2016-10-19,N,2016,,
95,Midland Gardens,130 Midland Ave,LTCH,Respiratory,Rhinovirus,,2016-09-19,2016-10-30,N,2016,,
96,Bendale Acres,2920 Lawrence Ave E,LTCH,Respiratory,Unable to identify,,2016-09-15,2016-09-29,N,2016,,
97,The Hospital For Sick Children - 5B,555 University Ave,Hospital-Acute Care,Respiratory,Enterovirus/Rhinovirus,,2016-09-14,2016-09-20,N,2016,,
98,Sunnybrook Health Sciences Centre - LTSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2016-09-14,2016-09-23,N,2016,,
99,Sunnybrook Health Sciences Centre - LSSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2016-09-13,2016-09-20,N,2016,,
100,Village of Humber Heights - Wadsworth,2245 Lawrence Ave W,LTCH,Respiratory,Rhinovirus,,2016-09-09,2016-09-20,N,2016,,
101,Cummer Lodge - 2 North,205 Cummer Ave,LTCH,Respiratory,Unable to identify,,2016-09-08,2016-09-25,N,2016,,
102,Castleview Wychwood Towers - 2  West,351 Christie St,LTCH,Respiratory,Rhinovirus,,2016-09-07,2016-09-15,N,2016,,
103,Eatonville Care Centre,420 East Mall,LTCH,Respiratory,Rhinovirus,,2016-08-29,2016-09-08,N,2016,,
104,Extendicare Rouge Valley - Highland Creek,551 Conlins Rd,LTCH,Respiratory,Rhinovirus,,2016-08-23,2016-09-03,N,2016,,
105,Atrium at Kew Beach,500 Kingston Rd,Retirement Home,Respiratory,Parainfluenza type 3,,2016-08-22,2016-09-09,N,2016,,
106,Hazelton Place Retirement Residence,111 Avenue Rd,Retirement Home,Enteric,Shigella flexneri (Group B),,2016-08-22,2016-08-31,N,2016,,
107,Yee Hong Centre for Geriatric Care - Finch Site - 2nd Fl,60 Scottfield Dr,LTCH,Respiratory,Metapneumovirus,,2016-08-19,2016-09-04,N,2016,,
108,McCall Centre for Continuing Care - 2nd Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Parainfluenza type 3,,2016-08-18,2016-08-26,N,2016,,
109,The Hospital for Sick Children - 8B,555 University Ave,Hospital-Acute Care,Respiratory,Parainfluenza type 3,,2016-08-15,2016-08-22,N,2016,,
110,"Hellenic Home - Ground, 2B & 3B",2411 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,,2016-08-03,2016-08-19,N,2016,,
111,Thompson House - 2nd Fl,1 Overland Dr,LTCH,Respiratory,Rhinovirus,,2016-07-29,2016-08-08,N,2016,,
112,Deerwood Creek Care Community - 3A (Windsor Heights),70 Humberline Dr,LTCH,Respiratory,Rhinovirus,,2016-07-27,2016-08-12,N,2016,,
113,Gibson Long Term Care,1925 Steeles Ave E,LTCH,Respiratory,Parainfluenza type 3,,2016-07-27,2016-08-27,N,2016,,
114,The Westbury - 7th Fl,495 The West Mall,LTCH,Respiratory,Unable to identify,,2016-07-26,2016-07-31,N,2016,,
115,Cedarhurst Home,2601 Bayview Ave,Retirement Home,Respiratory,Rhinovirus,,2016-07-25,2016-08-05,N,2016,,
116,Craiglee Extendicare,102 Craiglee Dr,LTCH,Respiratory,Parainfluenza type 3,,2016-07-22,2016-08-17,N,2016,,
117,Elm Grove Living Centre,35 Elm Grove Ave,LTCH,Respiratory,Rhinovirus,,2016-07-21,2016-08-18,N,2016,,
118,Sunnybrook Health Sciences Centre - LGSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2016-07-13,2016-07-30,N,2016,,
119,Yee Hong Centre - Finch Site - 3rd Fl,60 Scottfield Dr,LTCH,Respiratory,Parainfluenza type 3,,2016-07-11,2016-07-25,N,2016,,
120,Ehatare Nursing Home,40 Old Kingston Rd,LTCH,Enteric,Unable to identify,,2016-07-09,2016-07-18,N,2016,,
121,Ehatare Retirement Home,40 Old Kingston Rd,Retirement Home,Enteric,Unable to identify,,2016-07-09,2016-07-21,N,2016,,
122,West Park Healthcare Centre - 2WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Parainfluenza type 3,,2016-06-30,2016-07-09,N,2016,,
123,The Heritage Nursing Home,1195 Queen St E,LTCH,Respiratory,Parainfluenza type 3,,2016-06-27,2016-07-26,N,2016,,
124,Mount Sinai Hospital - 10N,600 University Ave,Hospital-Acute Care,Respiratory,Parainfluenza type 3,,2016-06-23,2016-07-09,N,2016,,
125,Sunnybrook Health Sciences Centre - K1W,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2016-06-13,2016-06-20,N,2016,,
126,Sunnybrook Health Sciences Centre - LTSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2016-06-08,2016-06-21,N,2016,,
127,Midland Gardens,130 Midland Ave,LTCH,Respiratory,Coronavirus,,2016-06-03,2016-06-30,N,2016,,
128,Rouge Valley Health System - Centenary Site - 9 East,2867 Ellesmere Rd,Hospital-Acute Care,Enteric,Clostridium difficile,,2016-06-01,2016-07-15,N,2016,,
129,St. John's Rehabilitation Centre - A1,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza A (H3N2),,2016-06-01,2016-06-09,N,2016,,
130,Sunnybrook Health Sciences Centre - K3C & K3E,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2016-05-31,2016-06-18,N,2016,,
131,St. Joseph's Health Centre - 4 East,30 The Queensway,Hospital-Acute Care,Enteric,Clostridium difficile,,2016-05-30,2016-06-13,N,2016,,
132,West Park Healthcare Centre - 2EC,82 Buttonwood Ave,Hospital-Chronic Care,Enteric,Norovirus-like,,2016-05-30,2016-06-04,N,2016,,
133,Atrium at Kew Beach,500 Kingston Rd,Retirement Home,Enteric,Norovirus-like,,2016-05-26,2016-06-09,N,2016,,
134,Villa Colombo,40 Playfair Ave,LTCH,Enteric,Norovirus-like,,2016-05-25,2016-06-08,N,2016,,
135,Salvation Army Toronto Grace Health Centre - Palliative Care,47 Austin Terr,Hospital-Chronic Care,Respiratory,Unable to identify,,2016-05-24,2016-06-01,N,2016,,
136,Seven Oaks - 2nd Fl,9 Neilson Rd,LTCH,Respiratory,Metapneumovirus,,2016-05-24,2016-05-31,N,2016,,
137,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Metapneumovirus,Parainfluenza type 3,2016-05-20,2016-05-27,N,2016,,
138,Labdara Lithuanian Nursing Home,5 Resurrection Rd,LTCH,Respiratory,Influenza A (H3),,2016-05-19,2016-06-08,N,2016,,
139,Sunnybrook Health Sciences Centre - LDMH,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2016-05-18,2016-05-26,N,2016,,
140,True Davidson Acres - 2E & 3rd Fl,200 Dawes Rd,LTCH,Respiratory,Rhinovirus,,2016-05-12,2016-05-25,N,2016,,
141,Wesburn Manor - 3 North & 3 South,400 The West Mall,LTCH,Respiratory,Metapneumovirus,,2016-05-09,2016-05-18,N,2016,,
142,The Wexford,1860 Lawrence Ave E,LTCH,Respiratory,Metapneumovirus,,2016-05-06,2016-05-19,N,2016,,
143,Kensington Place Retirement Residence,866 Sheppard Ave W,Retirement Home,Respiratory,Parainfluenza type 3,,2016-05-06,2016-05-15,N,2016,,
144,Toronto Finnish Canadian Seniors Centre - Suomi Koti,795 Eglinton Ave E,LTCH,Enteric,Norovirus-like,,2016-05-04,2016-05-20,N,2016,,
145,Castleview Wychwood Towers - 2W,351 Christie St,LTCH,Respiratory,Influenza A (H3),,2016-05-03,2016-05-08,N,2016,,
146,West Park Healthcare Centre - 2WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Influenza B,,2016-05-02,2016-05-11,N,2016,,
147,Sunnybrook Health Sciences Centre - LFSW,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,,2016-05-02,2016-05-20,N,2016,,
148,Chartwell Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Respiratory,Influenza B,,2016-05-02,2016-05-16,N,2016,,
149,Sunnybrook Health Sciences Centre - K2C,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,,2016-04-27,2016-05-15,N,2016,,
150,Sunnybrook Health Sciences Centre - D6,2075 Bayview Ave,Hospital-Acute Care,Enteric,Clostridium difficile,,2016-04-26,2016-05-04,N,2016,,
151,The O'Neill Centre,33 Christie St,LTCH,Respiratory,Respiratory syncytial virus,,2016-04-26,2016-05-06,N,2016,,
152,Cedarbook Lodge Retirement Residence - 2nd & 3rd Fl,520 Markham Rd,Retirement Home,Respiratory,Influenza B,,2016-04-23,2016-05-01,N,2016,,
153,Sunnybrook Health Sciences Centre - K1W,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,,2016-04-19,2016-04-29,N,2016,,
154,Amica at the Balmoral Club,155 Balmoral Ave,Retirement Home,Enteric,Norovirus-like,,2016-04-18,2016-05-02,N,2016,,
155,Better Living at Thompson House,1 Overland Dr,LTCH,Respiratory,Influenza B,,2016-04-17,2016-05-02,N,2016,,
156,Sunnybrook Health Sciences Centre - C2,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Influenza B,,2016-04-14,2016-04-25,N,2016,,
157,Chartwell Guildwood Retirement Residence,65 Livingston Rd,Retirement Home,Respiratory,Coronavirus,,2016-04-13,2016-04-29,N,2016,,
158,Elm Grove Living Centre,35 Elm Grove Ave,LTCH,Respiratory,Influenza B,,2016-04-12,2016-04-19,N,2016,,
159,Extendicare Rouge Valley - Highland Creek,551 Conlins Rd,LTCH,Respiratory,Coronavirus,,2016-04-11,2016-04-20,N,2016,,
160,Norfinch Care Community - 3A,22 Norfinch Dr,LTCH,Respiratory,Unable to identify,,2016-04-11,2016-04-16,N,2016,,
161,Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,Parainfluenza type 1,,2016-04-07,2016-05-11,N,2016,,
162,St. John's Rehabilitation Hospital - A1,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza B,,2016-04-05,2016-04-11,N,2016,,
163,Sunnybrook Health Sciences Centre - LGSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,,2016-04-05,2016-04-22,N,2016,,
164,Salvation Army Toronto Grace Health Centre - 2nd Fl,47 Austin Terr,Hospital-Chronic Care,Respiratory,Metapneumovirus,,2016-04-04,2016-04-10,N,2016,,
165,Mon Sheong Home for the Aged - 3rd Fl,36 D'Arcy St,LTCH,Respiratory,Influenza A ((H1N1)pdm09),,2016-04-04,2016-04-12,N,2016,,
166,Wesburn Manor,400 The West Mall,LTCH,Enteric,Norovirus-like,,2016-04-04,2016-04-20,N,2016,,
167,West Park Healthcare Centre - 2EC,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Coronavirus,Respiratory syncytial virus,2016-04-04,2016-04-22,N,2016,,
168,Scarborough Hospital General Campus - CP4,3050 Lawrence Ave E,Hospital-Acute Care,Enteric,Clostridium difficile,,2016-04-02,2016-04-13,N,2016,,
169,Casey House,9 Huntley St,Hospital-Chronic Care,Respiratory,Influenza B,,2016-04-01,2016-04-15,N,2016,,
170,North York General Hospital - 6W,4001 Leslie St,Hospital-Acute Care,Respiratory,Influenza A ((H1N1)pdm09),,2016-03-29,2016-04-05,N,2016,,
171,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Enteric,Norovirus-like,,2016-03-29,2016-04-06,N,2016,,
172,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,Metapneumovirus,Coronavirus,2016-03-29,2016-04-08,N,2016,,
173,Mount Sinai Hospital - Unit 10 North,600 University Ave,Hospital-Acute Care,Respiratory,Influenza B,,2016-03-26,2016-04-01,N,2016,,
174,St. Michael's Hospital - 14 Cardinal Carter,30 Bond St,Hospital-Acute Care,Respiratory,Influenza A ((H1N1)pdm09),,2016-03-18,2016-03-25,N,2016,,
175,Carefree Lodge - Main Fl,303 Finch Ave E,LTCH,Respiratory,Parainfluenza type 1,Coronavirus,2016-03-18,2016-04-05,N,2016,,
176,Belmont House - 3 Walker Wing,55 Belmont St,LTCH,Respiratory,Metapneumovirus,,2016-03-17,2016-03-30,N,2016,,
177,Seaton House,339 George St,Shelter,Respiratory,Streptococcus pyogenes,,2016-03-17,2017-10-16,N,2016,,
178,Altamont Care Community,92 Island Rd,LTCH,Respiratory,Influenza A ((H1N1)pdm09),Metapneumovirus,2016-03-17,2016-04-04,N,2016,,
179,True Davidson Acres - 3 East,200 Dawes Rd,LTCH,Respiratory,Influenza A ((H1N1)pdm09),,2016-03-15,2016-03-25,N,2016,,
180,Centre for Addiction and Mental Health - Queen Street Site,1001 Queen St W - Unit 2-2,Hospital-Psychiatric,Respiratory,Unable to identify,,2016-03-14,2016-03-23,N,2016,,
181,Cummer Lodge - 2 North,205 Cummer Ave,LTCH,Respiratory,Streptococcus pyogenes,,2016-03-14,2016-06-15,N,2016,,
182,Cummer Lodge - 2 North,205 Cummer Ave,LTCH,Enteric,Norovirus-like,,2016-03-14,2016-03-29,N,2016,,
183,Ehatare Nursing Home,40 Old Kingston Rd,LTCH,Respiratory,Unable to identify,,2016-03-14,2016-03-24,N,2016,,
184,Gibson Long Term Care - 4th Fl,1925 Steeles Ave E,LTCH,Respiratory,Respiratory syncytial virus,,2016-03-14,2016-03-28,N,2016,,
185,Tendercare Living Centre,1020 McNicoll Ave,LTCH,Respiratory,Metapneumovirus,,2016-03-14,2016-04-01,N,2016,,
