_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active
25,Venvi Kingsway Retirement Residence,4251 Dundas St W,Retirement Home,Respiratory,Parainfluenza,None,2025-05-21,2025-06-05,N
26,Weston Terrace Care Community - 4B,2005 Lawrence Ave W,LTCH,Respiratory,Coronavirus*,None,2025-05-20,2025-06-03,N
27,Extendicare Guildwood - West,60 Guildwood Pky,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2025-05-20,2025-06-06,N
28,Venvi Guildwood Retirement Residence - 2nd Fl Memory Living,65 Livingston Rd,Retirement Home,Respiratory,COVID-19,None,2025-05-19,2025-05-30,N
29,Villa Colombo Home for the Aged - 4 West & 4 North,40 Playfair Ave,LTCH,Respiratory,Rhinovirus,None,2025-05-18,2025-06-05,N
30,Rockcliffe Care Community - 2nd Fl,3015 Lawrence Ave E,LTCH,Respiratory,Metapneumovirus,None,2025-05-16,2025-06-06,N
31,Ivan Franko Home - 2 South,767 Royal York Rd,LTCH,Respiratory,Rhinovirus,None,2025-05-16,2025-05-26,N
32,Unity Health Toronto - St Joseph's Health Centre - 3M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),None,2025-05-15,2025-05-30,N
33,Harold and Grace Baker Centre Retirement Home,1 Northwestern Ave,Retirement Home,Respiratory,Enterovirus/ Rhinovirus,None,2025-05-14,2025-06-06,N
34,Eatonville Care Centre - 2nd & 3rd Fl,420 The East Mall,LTCH,Respiratory,Parainfluenza,None,2025-05-14,,Y
35,Unity Health Toronto - Houses of Providence - 2 West Elm & Pine,3276 St. Clair Ave E,LTCH,Respiratory,Metapneumovirus,None,2025-05-13,2025-05-26,N
36,"Weston Terrace Care Community - 1A, 2A, 2B & 3B",2005 Lawrence Ave W,LTCH,Respiratory,Parainfluenza,None,2025-05-12,2025-06-04,N
37,Chester Village - 3rd Fl East,3555 Danforth Ave,LTCH,Respiratory,Metapneumovirus,None,2025-05-12,2025-05-23,N
38,Tony Stacey Centre for Veterans Care - 1st Fl,59 Lawson Rd,LTCH,Respiratory,Rhinovirus,None,2025-05-12,2025-05-26,N
39,Seven Oaks - 1st & 3rd Fl,9 Neilson Rd,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2025-05-12,2025-06-08,N
40,Age Care Trilogy - 4th Fl,340 McCowan Rd,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2025-05-09,2025-05-28,N
41,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,Parainfluenza,None,2025-05-09,2025-06-06,N
42,TEHN - Atrium at Kew Beach Unit - 2nd Fl West Wing,500 Kingston Rd,Transitional Care,Respiratory,Metapneumovirus,None,2025-05-09,2025-05-20,N
43,The Hospital for Sick Children - 6A,555 University Ave,Hospital-Acute Care,Enteric,Rotavirus,None,2025-05-09,2025-05-14,N
44,Sunnybrook Health Sciences Centre - Veterans Centre - LGSW,2075 Bayview Ave,LTCH,Respiratory,Coronavirus*,None,2025-05-08,2025-05-17,N
45,Norfinch Care Community - 1A,22 Norfinch Dr,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2025-05-08,2025-05-17,N
46,Kensington Gardens North - 2 East,45 Brunswick Ave,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2025-05-08,2025-05-14,N
47,Delmanor West Village,18 Summerland Terr,Retirement Home,Respiratory,COVID-19,None,2025-05-07,2025-05-18,N
48,The Wexford - 7th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,None,2025-05-07,2025-05-16,N
49,UHN - Toronto Rehabiliitation Institute - Bickle Centre - North 3,130 Dunn Ave,Hospital-Chronic Care,Respiratory,COVID-19,None,2025-05-06,2025-05-22,N
50,North York General Hospital - Seniors' Health Centre - 1st Fl,2 Buchan Crt,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2025-05-06,2025-05-17,N
51,True Davidson Acres - 5th Fl,200 Dawes Rd,LTCH,Respiratory,Metapneumovirus,None,2025-05-06,2025-05-16,N
52,Humber Meadows Long Term Care Home - 4S,2109 Finch Ave W,LTCH,Respiratory,Rhinovirus,None,2025-05-06,2025-05-20,N
53,Castleview Wychwood Towers - 2W,351 Christie St,LTCH,Respiratory,Parainfluenza,None,2025-05-06,2025-05-17,N
54,Yee Hong - Scarborough Finch - 5th Fl,60 Scottfield Dr,LTCH,Respiratory,Influenza A (Not subtyped),None,2025-05-06,2025-05-22,N
55,Villa Colombo Homes for the Aged - 5 South,40 Playfair Ave,LTCH,Respiratory,Coronavirus*,None,2025-05-05,2025-05-15,N
56,The Village of Humber Heights - Wadsworth & Islington,2245 Lawrence Ave W,LTCH,Respiratory,Influenza A (Not subtyped),None,2025-05-04,2025-05-16,N
57,"Chester Village - 1 West, 2 East & 4 West",3555 Danforth Ave,LTCH,Respiratory,Respiratory syncytial virus,None,2025-05-04,2025-05-28,N
58,Carefree Lodge - Garden Level,306 Finch Ave E,LTCH,Respiratory,Rhinovirus,None,2025-05-03,2025-05-08,N
59,Fountain View Care Community - 3A Woodland,1800 O'Connor Dr,LTCH,Respiratory,Metapneumovirus,None,2025-05-02,2025-05-12,N
60,Amica Bayview Gardens - 2nd Fl (Assisted Living),19 Rean Dr,Retirement Home,Respiratory,Unable to identify,None,2025-05-02,2025-05-12,N
61,Humber Meadows Long Term Care Home - 2S & 4N,2109 Finch Ave,LTCH,Respiratory,Metapneumovirus,None,2025-05-02,2025-05-28,N
62,The Village of Humber Heights - Weston Unit,2245 Lawrence Ave W,LTCH,Respiratory,Coronavirus*,None,2025-05-01,2025-05-08,N
63,The Wexford - 5th Fl,1860 Lawrence Ave E,Retirement Home,Respiratory,Coronavirus*,None,2025-04-30,2025-05-13,N
64,North York General Hospital - General Site - 3N,4001 Leslie St,Hospital-Acute Care,Respiratory,Enterovirus/ Rhinovirus,None,2025-04-30,2025-05-07,N
65,North York General Hospital - General Site - 3N,4001 Leslie St,Hospital-Acute Care,Respiratory,COVID-19,None,2025-04-30,2025-05-07,N
66,Cummer Lodge - 4 South,205 Cummer Ave,LTCH,Respiratory,COVID-19,None,2025-04-29,2025-05-12,N
67,Hellenic Home Scarborough - Unit 3B,2411 Lawrence Ave E,LTCH,Respiratory,Coronavirus*,None,2025-04-29,2025-05-07,N
68,Weston Gardens Transitional Care Unit - 2nd & 3rd Fl,303 Queens Dr,Retirement Home,Enteric,Norovirus,None,2025-04-29,2025-05-08,N
69,Rekai Centre Sherbourne Place - 4th Fl,345 Sherbourne St,LTCH,Respiratory,Coronavirus*,None,2025-04-29,2025-05-23,N
70,"Villa Colombo Homes for the Aged - 2 North, 3 North, 5 North, 2 South, 3 South & 2 West",40 Playfair Ave,LTCH,Respiratory,Influenza A (H1N1),None,2025-04-29,2025-05-18,N
71,Baycrest Apotex Centre - Jewish Home for the Aged - 7GS,3560 Bathurst St,LTCH,Respiratory,Influenza A (Not subtyped),None,2025-04-28,2025-05-07,N
72,AgeCare Westbury Long Term Care Residence - 5th Fl,495 The West Mall,LTCH,Respiratory,Influenza A (Not subtyped),None,2025-04-28,2025-05-12,N
73,Aspira Kensington Place Retirement Residence,866 Sheppard Ave W,Retirement Home,Respiratory,Influenza A ((H1N1)pdm09),None,2025-04-28,2025-05-08,N
74,Cummer Lodge - 3 North,205 Cummer Ave,LTCH,Respiratory,Metapneumovirus,None,2025-04-26,2025-05-12,N
75,Fairview Nursing Home - 2nd Fl,14 Cross St,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2025-04-25,2025-05-07,N
76,Scarborough Health Network - General Hospital - T7,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,COVID-19,None,2025-04-25,2025-05-04,N
77,Yee Hong Centre Scarborough McNicoll - 3rd & 5th Fl,2311 McNicoll Ave,LTCH,Respiratory,Metapneumovirus,None,2025-04-24,2025-05-22,N
78,Presentation Manor - 2nd Fl,61 Fairfax Cres,Retirement Home,Enteric,Unable to identify,None,2025-04-24,2025-05-01,N
79,Main Street Terrace Long Term Care Home - 1st Fl,77 Main St,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2025-04-24,2025-05-01,N
80,Midland Gardens Care Community - 3rd Fl,130 Midland Ave,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2025-04-23,2025-05-13,N
81,Better Living at Thompson House - 4th Fl,1 Overland Dr,LTCH,Respiratory,Coronavirus*,None,2025-04-22,2025-04-28,N
82,"New Horizons Tower - 7th, 8th, 9th, 11th, 12th, 15th & 16th Fl",1140 Bloor St W,Retirement Home,Respiratory,Coronavirus*,None,2025-04-22,2025-04-29,N
83,Norfinch Care Community - 2B,22 Norfinch Dr,LTCH,Respiratory,Coronavirus*,None,2025-04-22,2025-04-26,N
84,Weston Gardens Retirement Residence,303 Queens Dr,Retirement Home,Enteric,Norovirus,None,2025-04-22,2025-05-12,N
85,Forestview Retirement Residence - 5th Fl,537 Finch Ave W,Retirement Home,Respiratory,COVID-19,None,2025-04-22,2025-04-30,N
86,Tendercare Living Center - 2nd Fl,1020 McNicoll Ave,LTCH,Respiratory,Parainfluenza,None,2025-04-21,2025-05-01,N
87,Rekai Centre Sherbourne Place - 2nd Fl,345 Sherbourne St,LTCH,Enteric,Norovirus,None,2025-04-21,2025-05-03,N
88,Eatonville Care Centre - 3rd & 5th Fl,420 The East Mall,LTCH,Respiratory,Parainfluenza,None,2025-04-21,2025-05-05,N
89,Cedarbrook Transitional Care Unit - 5th & 6th Fl,520 Markham Rd,Retirement Home,Respiratory,Influenza A (Not subtyped),None,2025-04-21,2025-05-07,N
90,"The Teddington - 2nd, 4th & 5th Fl",4 Teddington Park Ave,Retirement Home,Respiratory,Parainfluenza,None,2025-04-20,2025-05-11,N
91,Unity Health Toronto - St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,None,2025-04-18,2025-05-02,N
92,Weston Gardens Retirement Residence,303 Queens Dr,Retirement Home,Respiratory,Rhinovirus,None,2025-04-18,2025-05-05,N
93,"Cedarbrook Lodge Retirement Residence - 3rd, 4th & 5th Fl",520 Markham Rd,Retirement Home,Respiratory,Influenza A (Not subtyped),None,2025-04-18,2025-05-01,N
94,Extendicare Rouge Valley - 1st Fl Highland Creek Locked Unit,551 Conlins Rd,LTCH,Respiratory,Parainfluenza,None,2025-04-18,2025-05-01,N
95,Weston Terrace Care Community - 4B,2005 Lawrence Ave W,LTCH,Enteric,Unable to identify,None,2025-04-14,2025-04-28,N
96,The Village of Humber Heights Retirement Home - Main Fl - Williamsberg West & East,2245 Lawrence Ave W,Retirement Home,Respiratory,Enterovirus/ Rhinovirus,None,2025-04-14,2025-04-23,N
97,Chester Village - 2 East - Sapphire Home,3555 Danforth Ave,LTCH,Respiratory,Coronavirus*,None,2025-04-14,2025-04-23,N
98,Villa Colombo Toronto Homes for the Aged - 4 Fusco North,40 Playfair Ave,LTCH,Respiratory,Metapneumovirus,None,2025-04-14,2025-04-20,N
99,Eatonville Care Centre - 3rd & 5th Fl,420 The East Mall,LTCH,Respiratory,Influenza A (Not subtyped),None,2025-04-14,2025-05-01,N
100,Hawthorne Place Care Centre - 1st (Convalescent & LTC) & 3rd Fl,2045 Finch Ave W,LTCH,Respiratory,COVID-19,None,2025-04-12,2025-05-12,N
101,Downsview Long Term Care Centre - 1 East & 1 Centre,3595 Keele St,LTCH,Respiratory,Influenza A (Not subtyped),None,2025-04-12,2025-04-23,N
102,Yee Hong Centre Scarborough Finch - 3rd Fl,60 Scottfield Dr,LTCH,Respiratory,Influenza A (H1N1),None,2025-04-12,2025-04-27,N
103,Sts. Peter and Paul Retirement Residence - 3rd Fl,221 Milner Ave,Retirement Home,Respiratory,COVID-19,None,2025-04-11,2025-04-23,N
104,Hazelton Place Retirement Residence,111 Avenue Rd,Retirement Home,Enteric,Norovirus,None,2025-04-10,2025-04-28,N
105,Shepherd Lodge - 3 South,3760 Sheppard Ave E,LTCH,Respiratory,Rhinovirus,None,2025-04-10,2025-04-14,N
106,Unity Health Toronto - Houses of Providence - 4 West - Oak & Willow,3276 St. Clair Ave E,LTCH,Enteric,Unable to identify,None,2025-04-09,2025-04-14,N
107,Unity Health Toronto - Houses of Providence - 1 East,3276 St. Clair Ave E,LTCH,Respiratory,Parainfluenza,None,2025-04-08,2025-04-11,N
108,Fudger House - 1 West & 2 West,439 Sherbourne St,LTCH,Respiratory,Influenza A (Not subtyped),None,2025-04-08,2025-04-27,N
109,Kensington Gardens - 1 West,45 Brunswick Ave,LTCH,Respiratory,Parainfluenza,None,2025-04-08,2025-04-21,N
110,Hellenic Home - Scarborough - 3A,2411 Lawrence Ave E,LTCH,Respiratory,Coronavirus*,None,2025-04-07,2025-04-26,N
111,Eatonville Care Centre - 3rd Fl,420 The East Mall,LTCH,Respiratory,Coronavirus*,None,2025-04-07,2025-04-17,N
112,AgeCare Westbury Long Term Care Residence - 4th Fl - Centennial Park,495 The West Mall,LTCH,Respiratory,Coronavirus*,None,2025-04-04,2025-04-16,N
113,Hawthorne Place Care Centre - 2 Chestnut Grove,2045 Finch Ave W,LTCH,Respiratory,COVID-19,None,2025-04-03,2025-04-17,N
114,The Annex Retirement Residence - 2nd & 4th Fl,123 Spadina Rd,Retirement Home,Respiratory,Metapneumovirus,None,2025-04-02,2025-04-10,N
115,Harmony Hills Care Community - 3A,1800 O'Connor Dr,LTCH,Respiratory,Parainfluenza,None,2025-04-02,2025-04-17,N
116,Weston Terrace Care Community - 3A,2005 Lawrence Ave W,LTCH,Respiratory,Coronavirus*,None,2025-04-01,2025-04-16,N
117,Unity Health Toronto - Houses of Providence - 3 East - Cedar & Aspen,3276 St. Clair Ave E,LTCH,Respiratory,Parainfluenza,None,2025-04-01,2025-04-10,N
118,Age Care Trilogy - 6th Fl,340 McCowan Rd,LTCH,Respiratory,Coronavirus*,None,2025-04-01,2025-04-09,N
119,Donway Place - 1st Fl,8 The Donway E,Retirement Home,Respiratory,Coronavirus*,None,2025-04-01,2025-04-08,N
120,Downsview Long Term Care Centre - 2 Centre,3595 Keele St,LTCH,Respiratory,Rhinovirus,None,2025-03-31,2025-04-09,N
121,AgeCare Westbury Long Term Care Residence - 2nd Fl - The Kingsway,495 The West Mall,LTCH,Respiratory,COVID-19,None,2025-03-31,2025-04-11,N
122,Belmont House - 2E,55 Belmont St,LTCH,Respiratory,COVID-19,None,2025-03-31,2025-04-10,N
123,The Heritage Nursing Home - 4th Fl,1195 Queen St E,LTCH,Respiratory,Respiratory syncytial virus,None,2025-03-30,2025-04-22,N
124,The Kensington Gardens - 1 West & 1 East,45 Brunswick Ave,LTCH,Respiratory,Coronavirus*,None,2025-03-30,2025-04-14,N
125,Chartwell Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Enteric,Norovirus,None,2025-03-29,2025-04-08,N
126,Better Living at Thompson House - 2nd Fl,1 Overland Dr,LTCH,Respiratory,Influenza A (H1N1),None,2025-03-28,2025-04-11,N
127,"Wesburn Manor - 2 North, 2 South, 3 North & 3 South",400 The West Mall,LTCH,Respiratory,Influenza A (Not subtyped),None,2025-03-28,2025-04-22,N
128,Belmont House - 3W,55 Belmont St,LTCH,Respiratory,Coronavirus*,None,2025-03-28,2025-04-06,N
129,Chartwell Gibson Long Term Care Residence - 3rd Fl,1925 Steeles Ave E,LTCH,Respiratory,COVID-19,None,2025-03-27,2025-04-10,N
130,"The Claremont Retirement Residence - 2nd, 4th & 5th Fl",305 Balliol St,Retirement Home,Respiratory,Respiratory syncytial virus,None,2025-03-27,2025-04-08,N
131,Rekai Centre Sherbourne Place - 3rd & 4th Fl,345 Sherbourne St,LTCH,Respiratory,Coronavirus*,None,2025-03-27,2025-04-22,N
132,Humber Valley Terrace - 2nd & 3rd Fl,95 Humber College Blvd,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2025-03-27,2025-04-09,N
133,Baycrest Apotex Centre - Jewish Home for the Aged - 3RF,3560 Bathurst St,LTCH,Respiratory,Influenza A (Not subtyped),None,2025-03-26,2025-04-13,N
134,Christie Gardens Apartment and Care - Seaton,600 Melita Cres,Retirement Home,Respiratory,COVID-19,None,2025-03-26,2025-04-03,N
135,Norfinch Community - 3rd Fl,22 Norfinch Dr,LTCH,Respiratory,Influenza A (Not subtyped),None,2025-03-25,2025-04-01,N
136,Yee Hong Scarborough McNicoll - 2nd & 5th Fl,2311 McNicoll Ave,LTCH,Enteric,Norovirus,None,2025-03-25,2025-04-07,N
137,Ukrainian Canadian Care Centre - 2nd Fl,60 Richview Rd,LTCH,Respiratory,Influenza A (H1N1),None,2025-03-25,2025-03-31,N
138,Leaside - 4th Fl,14 William Morgan Dr,Retirement Home,Respiratory,Coronavirus*,None,2025-03-24,2025-04-03,N
139,Unity Health Toronto - Houses of Providence - 4E,3276 St. Clair Ave E,LTCH,Respiratory,Coronavirus*,Parainfluenza,2025-03-24,2025-04-16,N
140,Mon Sheong Home for the Aged - 4th Fl,36 D'Arcy St,LTCH,Enteric,Norovirus,None,2025-03-24,2025-04-01,N
141,Eatonville Care Centre - 5th Fl,420 The East Mall,LTCH,Respiratory,Rhinovirus,None,2025-03-24,2025-04-10,N
142,Extendicare Rouge Valley - Morrish Unit,551 Conlins Rd,LTCH,Respiratory,COVID-19,None,2025-03-24,2025-04-04,N
143,Tony Stacey Centre for Veterans Care - 1 East,59 Lawson Rd,LTCH,Respiratory,Influenza A (H1N1),None,2025-03-24,2025-04-01,N
144,Isabel and Arthur Meighen Manor - 4th Fl - Moore South,155 Millwood Rd,LTCH,Respiratory,Influenza A (H1),None,2025-03-23,2025-03-29,N
145,Maynard Nursing Home,28 Halton St,LTCH,Respiratory,Influenza A (H1N1),None,2025-03-22,2025-04-09,N
146,Extendicare Guildwood,60 Guildwood Pky,LTCH,Enteric,Norovirus,None,2025-03-22,2025-04-14,N
147,Sunnybrook Health Sciences Centre - K3CA,2075 Bayview Ave,Hospital-Acute Care,Other,CPE Colonization Citrobacter freundii (KPC),"CPE Infection E.coli (NDM), VRE",2025-03-21,2025-05-02,N
148,"Ivan Franko Home - 1W, 2S & 3S",767 Royal York Rd,LTCH,Respiratory,Coronavirus*,None,2025-03-21,2025-04-09,N
149,UHN - RCC - Trillium Health Partners - 3W LP Rehab,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Coronavirus*,None,2025-03-21,2025-03-28,N
150,Unity Health Toronto - Houses of Providence - 2 East - Chestnut,3276 St. Clair Ave E,LTCH,Respiratory,Coronavirus*,None,2025-03-20,2025-03-29,N
151,Eatonville Care Centre - 2nd Fl,420 The East Mall,LTCH,Respiratory,Coronavirus*,None,2025-03-20,2025-03-30,N
152,Christie Gardens Apartments and Care - Annex Neighbourhood,600 Melita Cres,Retirement Home,Respiratory,Coronavirus*,None,2025-03-20,2025-04-02,N
153,Scarborough Health Network - General Hospital - T7,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Influenza A (H1),None,2025-03-19,2025-04-02,N
154,Villa Colombo Homes for the Aged - 2 Fidani,40 Playfair Ave,LTCH,Respiratory,Coronavirus*,None,2025-03-19,2025-03-20,N
155,Deerwood Creek Community - 2B,70 Humberline Dr,LTCH,Enteric,Unable to identify,None,2025-03-19,2025-03-27,N
156,Shepherd Lodge - 5th & 7th Fl,3760 Sheppard Ave E,LTCH,Enteric,Norovirus,None,2025-03-18,2025-03-27,N
157,Trillium Health Partners - McCall Centre for Continuing Care - 3rd Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,COVID-19,None,2025-03-17,2025-03-28,N
158,The Wexford Residence - 6th & 7th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Coronavirus*,None,2025-03-17,2025-04-07,N
159,Chartwell Gibson Long Term Care Residence - 3rd Fl,1925 Steeles Ave E,LTCH,Respiratory,Unable to identify,None,2025-03-17,2025-03-27,N
160,Weston Terrace Care Community - 2nd Fl,2005 Lawrence Ave W,LTCH,Respiratory,Coronavirus*,None,2025-03-17,2025-03-20,N
161,Chartwell Grenadier Retirement Residence - Building A - 3rd & 4th Fl,2100 Bloor St W,Retirement Home,Respiratory,Influenza A (H1N1),None,2025-03-17,2025-03-25,N
162,Rockcliffe Care Community - 2nd Fl,3015 Lawrence Ave E,LTCH,Respiratory,Coronavirus*,None,2025-03-17,2025-03-24,N
163,Ehatare Nursing Home - 4th Fl,40 Old Kingston Rd,LTCH,Respiratory,COVID-19,None,2025-03-17,2025-04-01,N
164,"Dunfield Retirement Residence - 3rd, 4th, 6th, 9th, 11th, 15th & 16th Fl",77 Dunfield Ave,Retirement Home,Enteric,Norovirus,None,2025-03-16,2025-03-31,N
165,Unity Health Toronto - Houses of Providence - 1 West,3276 St. Clair Ave E,LTCH,Respiratory,COVID-19,None,2025-03-15,2025-03-24,N
166,Unity Health Toronto - Houses of Providence - 3 West,3276 St. Clair Ave E,LTCH,Respiratory,COVID-19,None,2025-03-15,2025-03-24,N
167,Deerwood Creek Community - 1A,70 Humberline Dr,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2025-03-15,2025-04-14,N
168,The Village of Humber Heights - 2nd Fl - Egerton,2245 Lawrence Ave W,Retirement Home,Respiratory,Respiratory syncytial virus,None,2025-03-14,2025-03-27,N
169,Extendicare Bayview - South Wing & East Wing,550 Cummer Ave,LTCH,Respiratory,COVID-19,None,2025-03-14,2025-04-04,N
170,Glen Rouge Community,92 Island Rd,LTCH,Respiratory,Coronavirus*,None,2025-03-14,2025-03-27,N
171,Lakeside Long Term Care Centre - 1st Fl,150 Dunn Ave,LTCH,Enteric,Unable to identify,None,2025-03-13,2025-03-23,N
172,Lakeside Long Term Care Centre - 2nd & 3rd Fl,150 Dunn Ave,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2025-03-13,2025-03-25,N
173,Weston Terrace Care Community - 4B Fl,2005 Lawrence Ave W,LTCH,Respiratory,Influenza A (Not subtyped),None,2025-03-13,2025-03-31,N
174,Kennedy Lodge - 2nd Fl,1400 Kennedy Rd,LTCH,Respiratory,Influenza A (H1N1),None,2025-03-12,2025-03-21,N
175,"Rockcliffe Care Community - 1st, 2nd & 3rd Fl",3015 Lawrence Ave E,LTCH,Respiratory,Influenza A ((H1N1)pdm09),None,2025-03-12,2025-03-31,N
176,Copernicus Lodge - 2nd Fl North - Memory Care,66 Roncesvalles Ave,LTCH,Respiratory,Influenza A (H1N1),None,2025-03-12,2025-03-17,N
177,"Nisbet Lodge - 3rd, 7th & 8th Fl",740 Pape Ave,LTCH,Respiratory,Influenza A (H1N1),None,2025-03-12,2025-03-26,N
178,Unity Health Toronto - Houses of Providence - 3E - Cedar & Aspen,3276 St. Clair Ave E,LTCH,Respiratory,Coronavirus*,None,2025-03-11,2025-03-19,N
179,Castleview Wychwood Towers - 7th Fl,351 Christie St,LTCH,Enteric,Norovirus,None,2025-03-11,2025-03-25,N
180,Suomi-Koti - 1st Fl,795 Eglinton Ave E,LTCH,Respiratory,Coronavirus*,None,2025-03-11,2025-03-19,N
181,Sinai Health - Hennick Bridgepoint Hospital - 2S,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,None,2025-03-10,2025-03-15,N
182,Better Living at Thompson House,1 Overland Dr,LTCH,Enteric,Norovirus,None,2025-03-10,2025-03-22,N
183,Midland Gardens Care Community - 6th Fl,130 Midland Ave,LTCH,Respiratory,Coronavirus*,None,2025-03-10,2025-03-17,N
184,Trillium Health Partners - McCall Centre for Continuing Care - 4th Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),None,2025-03-10,2025-03-23,N
185,Sisters of St. Joseph - 3rd Fl,2 O'Connor Dr,Hospital-Chronic Care,Respiratory,COVID-19,None,2025-03-10,2025-03-18,N
186,RCC - Church Site - St. Joseph's Health Centre - 4B,200 Church St,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),None,2025-03-10,2025-03-18,N
187,Cummer Lodge - 4th Fl North Unit,205 Cummer Ave,LTCH,Respiratory,Influenza A (Not subtyped),None,2025-03-10,2025-03-24,N
188,Unity Health Toronto - Houses of Providence - 2W - Elm & Pine,3276 St. Clair Ave E,LTCH,Respiratory,COVID-19,None,2025-03-10,2025-03-29,N
189,Ehatare Retirement Home,40 Old Kingston Rd,Retirement Home,Respiratory,Coronavirus*,None,2025-03-10,2025-03-17,N
