_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active,Year,Outbreak Duration (days)
64,Chartwell Scarlett Height Retirement Residence -,"4005 Eglinton Ave W - 2nd, 7th, 8th & 9th Fl",retirement home,respiratory,Rhinovirus,N/A,2016-11-23,2016-12-05,n,2016,12
65,St. John's Rehabilitation Hospital - A3,285 Cummer Ave,hospital-chronic care,respiratory,Influenza A (H3N2),N/A,2016-11-18,2016-11-25,n,2016,7
66,Ehatare Nursing Home,40 Old Kingston Rd,ltch,respiratory,Rhinovirus,N/A,2016-11-18,2016-12-05,n,2016,17
67,Main Street Terrace,77 Main St,ltch,enteric,Unable to identify,N/A,2016-11-18,2016-11-30,n,2016,12
68,Michael Garron Hospital - F3,825 Coxwell Ave,hospital-acute care,enteric,Norovirus-like,N/A,2016-11-13,2016-11-22,n,2016,9
69,St. Joseph's Health Centre - 6G,30 The Queensway,hospital-acute care,respiratory,Respiratory syncytial virus,N/A,2016-11-12,2016-12-04,n,2016,22
70,The Salvation Army Toronto Grace Health Centre - Unit 2,47 Austin Terr,hospital-chronic care,enteric,Clostridium difficile,N/A,2016-11-09,2016-12-13,n,2016,34
71,St Clair O'Connor Nursing Home,2701 St Clair Ave E,ltch,enteric,Norovirus-like,N/A,2016-11-09,2016-11-18,n,2016,9
72,Centre for Addiction and Mental Health - Queen Site -,1001 Queen St W - Unit 2-2,hospital-psychiatric,respiratory,Rhinovirus,Coronavirus,2016-11-08,2016-11-17,n,2016,9
73,Fudger House - 2E,439 Sherbourne St,ltch,enteric,Unable to identify,N/A,2016-11-01,2016-11-06,n,2016,5
74,Gibson Long Term Care Centre - Unit 4,1925 Steeles Ave E,ltch,respiratory,Influenza A (H3),N/A,2016-11-01,2016-11-15,n,2016,14
75,West Park Healthcare Centre - 2WF,82 Buttonwood Ave,hospital-chronic care,respiratory,Rhinovirus,N/A,2016-10-26,2016-11-04,n,2016,9
76,Sunnybrook Health Sciences Centre - LSSW,2075 Bayview Ave,ltch,respiratory,Enterovirus/Rhinovirus,N/A,2016-10-20,2016-10-28,n,2016,8
77,Gibson Retirement Residence,1955 Steeles Ave E,retirement home,respiratory,Rhinovirus,N/A,2016-10-20,2016-11-03,n,2016,14
78,The O'Neill Centre,33 Christie St,ltch,respiratory,Rhinovirus,Coronavirus,2016-10-17,2016-11-07,n,2016,21
79,Drs. Paul & John Rekai Centre - 2nd Fl,345 Sherbourne St,ltch,respiratory,Rhinovirus,N/A,2016-10-16,2016-10-27,n,2016,11
80,Thompson House - 2nd & 3rd Fl,1 Overland Dr,ltch,respiratory,Rhinovirus,N/A,2016-10-13,2016-11-03,n,2016,21
81,Canterbury Place Retirement Residence,1 Canterbury Pl,retirement home,respiratory,Rhinovirus,N/A,2016-10-12,2016-10-24,n,2016,12
82,Cedarhurst Home - 1st Fl,2601 Bayview Ave,retirement home,respiratory,Rhinovirus,N/A,2016-10-12,2016-10-21,n,2016,9
83,Bethseda Home - Belgreen,67 Belgreen Ave,retirement home,respiratory,Rhinovirus,N/A,2016-10-11,2016-10-18,n,2016,7
84,Gibson Long Term Care Centre - Unit 3,1925 Steeles Ave E,ltch,respiratory,Rhinovirus,N/A,2016-10-08,2016-11-08,n,2016,31
85,Sunnybrook Health Sciences Centre - K2C,2075 Bayview Ave,ltch,respiratory,Enterovirus/Rhinovirus,N/A,2016-10-07,2016-10-15,n,2016,8
86,Chartwell Lansing Retirement Residence,10 Senlac Rd,retirement home,respiratory,Rhinovirus,N/A,2016-10-04,2016-10-15,n,2016,11
87,Sunnybrook Health Sciences Centre - LSSW,2075 Bayview Ave,ltch,respiratory,Enterovirus/Rhinovirus,N/A,2016-09-30,2016-10-15,n,2016,15
88,Fountain View Care Community - 2nd Fl (Lakeside & Breezeway),1800 O'Connor Dr,ltch,respiratory,Rhinovirus,N/A,2016-09-29,2016-10-17,n,2016,18
89,St. John's Rehabilitation Hospital - A4,285 Cummer Ave,hospital-chronic care,respiratory,Coronavirus,N/A,2016-09-26,2016-10-01,n,2016,5
90,Extendicare Scarborough,3830 Lawrence Ave E,ltch,respiratory,Rhinovirus,N/A,2016-09-26,2016-10-07,n,2016,11
91,Mon Sheong Scarborough Long Term Care Centre - 4th Fl,2030 McNicoll Ave,ltch,respiratory,Rhinovirus,N/A,2016-09-22,2016-10-03,n,2016,11
92,The Heritage Nursing Home - 1st & 3rd Fl,1195 Queen St E,ltch,respiratory,Rhinovirus,Respiratory syncytial virus,2016-09-22,2016-10-17,n,2016,25
93,Extendicare Bayview,550 Cummer Ave,ltch,respiratory,Rhinovirus,N/A,2016-09-21,2016-10-02,n,2016,11
94,Cedarvale Terrace,429 Walmer Rd,ltch,respiratory,Unable to identify,N/A,2016-09-19,2016-10-19,n,2016,30
95,Midland Gardens,130 Midland Ave,ltch,respiratory,Rhinovirus,N/A,2016-09-19,2016-10-30,n,2016,41
96,Bendale Acres,2920 Lawrence Ave E,ltch,respiratory,Unable to identify,N/A,2016-09-15,2016-09-29,n,2016,14
97,The Hospital For Sick Children - 5B,555 University Ave,hospital-acute care,respiratory,Enterovirus/Rhinovirus,N/A,2016-09-14,2016-09-20,n,2016,6
98,Sunnybrook Health Sciences Centre - LTSW,2075 Bayview Ave,ltch,respiratory,Enterovirus/Rhinovirus,N/A,2016-09-14,2016-09-23,n,2016,9
99,Sunnybrook Health Sciences Centre - LSSW,2075 Bayview Ave,ltch,respiratory,Enterovirus/Rhinovirus,N/A,2016-09-13,2016-09-20,n,2016,7
100,Village of Humber Heights - Wadsworth,2245 Lawrence Ave W,ltch,respiratory,Rhinovirus,N/A,2016-09-09,2016-09-20,n,2016,11
101,Cummer Lodge - 2 North,205 Cummer Ave,ltch,respiratory,Unable to identify,N/A,2016-09-08,2016-09-25,n,2016,17
102,Castleview Wychwood Towers - 2  West,351 Christie St,ltch,respiratory,Rhinovirus,N/A,2016-09-07,2016-09-15,n,2016,8
103,Eatonville Care Centre,420 East Mall,ltch,respiratory,Rhinovirus,N/A,2016-08-29,2016-09-08,n,2016,10
104,Extendicare Rouge Valley - Highland Creek,551 Conlins Rd,ltch,respiratory,Rhinovirus,N/A,2016-08-23,2016-09-03,n,2016,11
105,Atrium at Kew Beach,500 Kingston Rd,retirement home,respiratory,Parainfluenza type 3,N/A,2016-08-22,2016-09-09,n,2016,18
106,Hazelton Place Retirement Residence,111 Avenue Rd,retirement home,enteric,Shigella flexneri (Group B),N/A,2016-08-22,2016-08-31,n,2016,9
107,Yee Hong Centre for Geriatric Care - Finch Site - 2nd Fl,60 Scottfield Dr,ltch,respiratory,Metapneumovirus,N/A,2016-08-19,2016-09-04,n,2016,16
108,McCall Centre for Continuing Care - 2nd Fl,140 Sherway Dr,hospital-chronic care,respiratory,Parainfluenza type 3,N/A,2016-08-18,2016-08-26,n,2016,8
109,The Hospital for Sick Children - 8B,555 University Ave,hospital-acute care,respiratory,Parainfluenza type 3,N/A,2016-08-15,2016-08-22,n,2016,7
110,"Hellenic Home - Ground, 2B & 3B",2411 Lawrence Ave E,ltch,respiratory,Rhinovirus,N/A,2016-08-03,2016-08-19,n,2016,16
111,Thompson House - 2nd Fl,1 Overland Dr,ltch,respiratory,Rhinovirus,N/A,2016-07-29,2016-08-08,n,2016,10
112,Deerwood Creek Care Community - 3A (Windsor Heights),70 Humberline Dr,ltch,respiratory,Rhinovirus,N/A,2016-07-27,2016-08-12,n,2016,16
113,Gibson Long Term Care,1925 Steeles Ave E,ltch,respiratory,Parainfluenza type 3,N/A,2016-07-27,2016-08-27,n,2016,31
114,The Westbury - 7th Fl,495 The West Mall,ltch,respiratory,Unable to identify,N/A,2016-07-26,2016-07-31,n,2016,5
115,Cedarhurst Home,2601 Bayview Ave,retirement home,respiratory,Rhinovirus,N/A,2016-07-25,2016-08-05,n,2016,11
116,Craiglee Extendicare,102 Craiglee Dr,ltch,respiratory,Parainfluenza type 3,N/A,2016-07-22,2016-08-17,n,2016,26
117,Elm Grove Living Centre,35 Elm Grove Ave,ltch,respiratory,Rhinovirus,N/A,2016-07-21,2016-08-18,n,2016,28
118,Sunnybrook Health Sciences Centre - LGSW,2075 Bayview Ave,ltch,respiratory,Enterovirus/Rhinovirus,N/A,2016-07-13,2016-07-30,n,2016,17
119,Yee Hong Centre - Finch Site - 3rd Fl,60 Scottfield Dr,ltch,respiratory,Parainfluenza type 3,N/A,2016-07-11,2016-07-25,n,2016,14
120,Ehatare Nursing Home,40 Old Kingston Rd,ltch,enteric,Unable to identify,N/A,2016-07-09,2016-07-18,n,2016,9
121,Ehatare Retirement Home,40 Old Kingston Rd,retirement home,enteric,Unable to identify,N/A,2016-07-09,2016-07-21,n,2016,12
122,West Park Healthcare Centre - 2WF,82 Buttonwood Ave,hospital-chronic care,respiratory,Parainfluenza type 3,N/A,2016-06-30,2016-07-09,n,2016,9
123,The Heritage Nursing Home,1195 Queen St E,ltch,respiratory,Parainfluenza type 3,N/A,2016-06-27,2016-07-26,n,2016,29
124,Mount Sinai Hospital - 10N,600 University Ave,hospital-acute care,respiratory,Parainfluenza type 3,N/A,2016-06-23,2016-07-09,n,2016,16
125,Sunnybrook Health Sciences Centre - K1W,2075 Bayview Ave,ltch,respiratory,Enterovirus/Rhinovirus,N/A,2016-06-13,2016-06-20,n,2016,7
126,Sunnybrook Health Sciences Centre - LTSW,2075 Bayview Ave,ltch,respiratory,Enterovirus/Rhinovirus,N/A,2016-06-08,2016-06-21,n,2016,13
127,Midland Gardens,130 Midland Ave,ltch,respiratory,Coronavirus,N/A,2016-06-03,2016-06-30,n,2016,27
128,Rouge Valley Health System - Centenary Site - 9 East,2867 Ellesmere Rd,hospital-acute care,enteric,Clostridium difficile,N/A,2016-06-01,2016-07-15,n,2016,44
129,St. John's Rehabilitation Centre - A1,285 Cummer Ave,hospital-chronic care,respiratory,Influenza A (H3N2),N/A,2016-06-01,2016-06-09,n,2016,8
130,Sunnybrook Health Sciences Centre - K3C & K3E,2075 Bayview Ave,ltch,respiratory,Enterovirus/Rhinovirus,N/A,2016-05-31,2016-06-18,n,2016,18
131,St. Joseph's Health Centre - 4 East,30 The Queensway,hospital-acute care,enteric,Clostridium difficile,N/A,2016-05-30,2016-06-13,n,2016,14
132,West Park Healthcare Centre - 2EC,82 Buttonwood Ave,hospital-chronic care,enteric,Norovirus-like,N/A,2016-05-30,2016-06-04,n,2016,5
133,Atrium at Kew Beach,500 Kingston Rd,retirement home,enteric,Norovirus-like,N/A,2016-05-26,2016-06-09,n,2016,14
134,Villa Colombo,40 Playfair Ave,ltch,enteric,Norovirus-like,N/A,2016-05-25,2016-06-08,n,2016,14
135,Salvation Army Toronto Grace Health Centre - Palliative Care,47 Austin Terr,hospital-chronic care,respiratory,Unable to identify,N/A,2016-05-24,2016-06-01,n,2016,8
136,Seven Oaks - 2nd Fl,9 Neilson Rd,ltch,respiratory,Metapneumovirus,N/A,2016-05-24,2016-05-31,n,2016,7
137,Rockcliffe Care Community,3015 Lawrence Ave E,ltch,respiratory,Metapneumovirus,Parainfluenza type 3,2016-05-20,2016-05-27,n,2016,7
138,Labdara Lithuanian Nursing Home,5 Resurrection Rd,ltch,respiratory,Influenza A (H3),N/A,2016-05-19,2016-06-08,n,2016,20
139,Sunnybrook Health Sciences Centre - LDMH,2075 Bayview Ave,ltch,respiratory,Enterovirus/Rhinovirus,N/A,2016-05-18,2016-05-26,n,2016,8
140,True Davidson Acres - 2E & 3rd Fl,200 Dawes Rd,ltch,respiratory,Rhinovirus,N/A,2016-05-12,2016-05-25,n,2016,13
141,Wesburn Manor - 3 North & 3 South,400 The West Mall,ltch,respiratory,Metapneumovirus,N/A,2016-05-09,2016-05-18,n,2016,9
142,The Wexford,1860 Lawrence Ave E,ltch,respiratory,Metapneumovirus,N/A,2016-05-06,2016-05-19,n,2016,13
143,Kensington Place Retirement Residence,866 Sheppard Ave W,retirement home,respiratory,Parainfluenza type 3,N/A,2016-05-06,2016-05-15,n,2016,9
144,Toronto Finnish Canadian Seniors Centre - Suomi Koti,795 Eglinton Ave E,ltch,enteric,Norovirus-like,N/A,2016-05-04,2016-05-20,n,2016,16
145,Castleview Wychwood Towers - 2W,351 Christie St,ltch,respiratory,Influenza A (H3),N/A,2016-05-03,2016-05-08,n,2016,5
146,West Park Healthcare Centre - 2WF,82 Buttonwood Ave,hospital-chronic care,respiratory,Influenza B,N/A,2016-05-02,2016-05-11,n,2016,9
147,Sunnybrook Health Sciences Centre - LFSW,2075 Bayview Ave,ltch,respiratory,Coronavirus,N/A,2016-05-02,2016-05-20,n,2016,18
148,Chartwell Gibson Retirement Residence,1955 Steeles Ave E,retirement home,respiratory,Influenza B,N/A,2016-05-02,2016-05-16,n,2016,14
149,Sunnybrook Health Sciences Centre - K2C,2075 Bayview Ave,ltch,respiratory,Coronavirus,N/A,2016-04-27,2016-05-15,n,2016,18
150,Sunnybrook Health Sciences Centre - D6,2075 Bayview Ave,hospital-acute care,enteric,Clostridium difficile,N/A,2016-04-26,2016-05-04,n,2016,8
151,The O'Neill Centre,33 Christie St,ltch,respiratory,Respiratory syncytial virus,N/A,2016-04-26,2016-05-06,n,2016,10
152,Cedarbook Lodge Retirement Residence - 2nd & 3rd Fl,520 Markham Rd,retirement home,respiratory,Influenza B,N/A,2016-04-23,2016-05-01,n,2016,8
153,Sunnybrook Health Sciences Centre - K1W,2075 Bayview Ave,ltch,respiratory,Coronavirus,N/A,2016-04-19,2016-04-29,n,2016,10
154,Amica at the Balmoral Club,155 Balmoral Ave,retirement home,enteric,Norovirus-like,N/A,2016-04-18,2016-05-02,n,2016,14
155,Better Living at Thompson House,1 Overland Dr,ltch,respiratory,Influenza B,N/A,2016-04-17,2016-05-02,n,2016,15
156,Sunnybrook Health Sciences Centre - C2,2075 Bayview Ave,hospital-acute care,respiratory,Influenza B,N/A,2016-04-14,2016-04-25,n,2016,11
157,Chartwell Guildwood Retirement Residence,65 Livingston Rd,retirement home,respiratory,Coronavirus,N/A,2016-04-13,2016-04-29,n,2016,16
158,Elm Grove Living Centre,35 Elm Grove Ave,ltch,respiratory,Influenza B,N/A,2016-04-12,2016-04-19,n,2016,7
159,Extendicare Rouge Valley - Highland Creek,551 Conlins Rd,ltch,respiratory,Coronavirus,N/A,2016-04-11,2016-04-20,n,2016,9
160,Norfinch Care Community - 3A,22 Norfinch Dr,ltch,respiratory,Unable to identify,N/A,2016-04-11,2016-04-16,n,2016,5
161,Midland Gardens Care Community,130 Midland Ave,ltch,respiratory,Parainfluenza type 1,N/A,2016-04-07,2016-05-11,n,2016,34
162,St. John's Rehabilitation Hospital - A1,285 Cummer Ave,hospital-chronic care,respiratory,Influenza B,N/A,2016-04-05,2016-04-11,n,2016,6
163,Sunnybrook Health Sciences Centre - LGSW,2075 Bayview Ave,ltch,respiratory,Enterovirus/Rhinovirus,N/A,2016-04-05,2016-04-22,n,2016,17
164,Salvation Army Toronto Grace Health Centre - 2nd Fl,47 Austin Terr,hospital-chronic care,respiratory,Metapneumovirus,N/A,2016-04-04,2016-04-10,n,2016,6
165,Mon Sheong Home for the Aged - 3rd Fl,36 D'Arcy St,ltch,respiratory,Influenza A ((H1N1)pdm09),N/A,2016-04-04,2016-04-12,n,2016,8
166,Wesburn Manor,400 The West Mall,ltch,enteric,Norovirus-like,N/A,2016-04-04,2016-04-20,n,2016,16
167,West Park Healthcare Centre - 2EC,82 Buttonwood Ave,hospital-chronic care,respiratory,Coronavirus,Respiratory syncytial virus,2016-04-04,2016-04-22,n,2016,18
168,Scarborough Hospital General Campus - CP4,3050 Lawrence Ave E,hospital-acute care,enteric,Clostridium difficile,N/A,2016-04-02,2016-04-13,n,2016,11
169,Casey House,9 Huntley St,hospital-chronic care,respiratory,Influenza B,N/A,2016-04-01,2016-04-15,n,2016,14
170,North York General Hospital - 6W,4001 Leslie St,hospital-acute care,respiratory,Influenza A ((H1N1)pdm09),N/A,2016-03-29,2016-04-05,n,2016,7
171,Extendicare Scarborough,3830 Lawrence Ave E,ltch,enteric,Norovirus-like,N/A,2016-03-29,2016-04-06,n,2016,8
172,Extendicare Scarborough,3830 Lawrence Ave E,ltch,respiratory,Metapneumovirus,Coronavirus,2016-03-29,2016-04-08,n,2016,10
173,Mount Sinai Hospital - Unit 10 North,600 University Ave,hospital-acute care,respiratory,Influenza B,N/A,2016-03-26,2016-04-01,n,2016,6
174,St. Michael's Hospital - 14 Cardinal Carter,30 Bond St,hospital-acute care,respiratory,Influenza A ((H1N1)pdm09),N/A,2016-03-18,2016-03-25,n,2016,7
175,Carefree Lodge - Main Fl,303 Finch Ave E,ltch,respiratory,Parainfluenza type 1,Coronavirus,2016-03-18,2016-04-05,n,2016,18
176,Belmont House - 3 Walker Wing,55 Belmont St,ltch,respiratory,Metapneumovirus,N/A,2016-03-17,2016-03-30,n,2016,13
177,Seaton House,339 George St,shelter,respiratory,Streptococcus pyogenes,N/A,2016-03-17,2017-10-16,n,2016,578
178,Altamont Care Community,92 Island Rd,ltch,respiratory,Influenza A ((H1N1)pdm09),Metapneumovirus,2016-03-17,2016-04-04,n,2016,18
179,True Davidson Acres - 3 East,200 Dawes Rd,ltch,respiratory,Influenza A ((H1N1)pdm09),N/A,2016-03-15,2016-03-25,n,2016,10
180,Centre for Addiction and Mental Health - Queen Street Site,1001 Queen St W - Unit 2-2,hospital-psychiatric,respiratory,Unable to identify,N/A,2016-03-14,2016-03-23,n,2016,9
181,Cummer Lodge - 2 North,205 Cummer Ave,ltch,respiratory,Streptococcus pyogenes,N/A,2016-03-14,2016-06-15,n,2016,93
182,Cummer Lodge - 2 North,205 Cummer Ave,ltch,enteric,Norovirus-like,N/A,2016-03-14,2016-03-29,n,2016,15
183,Ehatare Nursing Home,40 Old Kingston Rd,ltch,respiratory,Unable to identify,N/A,2016-03-14,2016-03-24,n,2016,10
184,Gibson Long Term Care - 4th Fl,1925 Steeles Ave E,ltch,respiratory,Respiratory syncytial virus,N/A,2016-03-14,2016-03-28,n,2016,14
185,Tendercare Living Centre,1020 McNicoll Ave,ltch,respiratory,Metapneumovirus,N/A,2016-03-14,2016-04-01,n,2016,18
